Animal Crossing 3DS,Nintendo,Nintendo
Anno 2070,"Related Designs, Ubisoft Blue Byte",Ubisoft
Assassin's Creed II,Ubisoft,Ubisoft
Assassin's Creed: Revelations,Ubisoft,Ubisoft
Batman: Arkham Asylum,Rocksteady Studios,"Eidos Interactive, Warner Bros. Interactive Entertainment, Square Enix, Feral Interactive"
Batman: Arkham City,Rocksteady Studios,"Warner Bros. Interactive Entertainment, Square Enix"
Battlefield 3,EA Digital Illusions CE,"Electronic Arts, Sega"
BioShock Infinite,Irrational Games,2K Games
Borderlands 2,Gearbox Software,2K Games
Call of Duty: Modern Warfare 3,"Infinity Ward, Sledgehammer Games","Activision, Square Enix"
Counter-Strike,Valve Corporation,"Valve Corporation, Sierra Studios, Microsoft Game Studios"
Counter-Strike: Global Offensive,"Hidden Path Entertainment, Valve Corporation",Valve Corporation
Counter-Strike: Source,"Hidden Path Entertainment, Valve Corporation",Valve Corporation
Dark Souls,From Software,"From Software, Namco Bandai Games"
Diablo III,Blizzard Entertainment,Blizzard Entertainment
Dota 2,Valve Corporation,Valve Corporation
FIFA 12,Electronic Arts,Electronic Arts
Final Fantasy XIII-2,Square Enix,Square Enix
Forza Motorsport 4,Turn 10 Studios,Microsoft Studios
Gears of War 2,Epic Games,Microsoft Studios
Gears of War 3,Epic Games,Microsoft Studios
God of War III,Santa Monica Studio,Sony Computer Entertainment
Grand Theft Auto IV,Rockstar North,Rockstar Games
Grand Theft Auto V,Rockstar North,Rockstar Games
Guild Wars 2,ArenaNet,NCsoft
Halo 4,343 Industries,Microsoft Studios
Halo: Combat Evolved Anniversary,"343 Industries, Bungie, Certain Affinity",Microsoft Studios
Halo: Reach,Bungie,Microsoft Studios
Heavy Rain,Quantic Dream,Sony Computer Entertainment
Infamous,Sucker Punch Productions,Sony Computer Entertainment
Infamous 2,Sucker Punch Productions,Sony Computer Entertainment
Kid Icarus Uprising,Sora Ltd.,Nintendo
Kingdom Hearts 3D: Dream Drop Distance,Square Enix,Square Enix
Kingdoms of Amalur: Reckoning,"38 Studios, Big Huge Games",Electronic Arts
LittleBigPlanet 2,Media Molecule,Sony Computer Entertainment
Luigi's Mansion 2,Next Level Games,Nintendo
Madden NFL 12,"HB Studios, Electronic Arts",Electronic Arts
Mario Kart 7,"Nintendo, Retro Studios",Nintendo
Mass Effect,BioWare,"Microsoft Studios, Electronic Arts"
Mass Effect 2,BioWare,Electronic Arts
Mass Effect 3,BioWare,Electronic Arts
Mass Effect 3 (N7 Collector's Edition),BioWare,Electronic Arts
Max Payne 3,Rockstar Games,Rockstar Games
Metal Gear Solid 3D Snake Eater,Kojima Productions,Konami
Metal Gear Solid 4: Guns of the Patriots,Kojima Productions,Konami
Minecraft,Mojang,Mojang
Ninja Gaiden III,Team Ninja,Tecmo Koei
Paper Mario 3DS,Intelligent Systems,Nintendo
Red Dead Redemption,Rockstar Games,Rockstar Games
Resident Evil Revelations,Capcom,Capcom
Resistance 3,Insomniac Games,Sony Computer Entertainment
Saints Row: The Third,Volition,THQ Digital Studios
Silent Hill: Downpour,Vatra Games,Konami
Soulcalibur V,Project Soul,Namco Bandai Games
SSX,Electronic Arts,Electronic Arts
Star Wars: The Old Republic,BioWare,"Electronic Arts, LucasArts"
StarCraft II: Heart of the Swarm,Blizzard Entertainment,Blizzard Entertainment
Street Fighter x Tekken,Capcom,Capcom
Super Mario 3D Land,Nintendo,Nintendo
The Darkness II,Digital Extremes,2K Games
The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks
The Last Guardian,Team Ico,Sony Computer Entertainment
The Last of Us,Naughty Dog,Sony Computer Entertainment
The Legend of Zelda: Skyward Sword,"Nintendo, Monolith Soft",Nintendo
The Legend of Zelda: Twilight Princess,Nintendo,Nintendo
Tom Clancy's Ghost Recon: Future Soldier,"Next Level Games, Ubisoft",Ubisoft
Tomb Raider,Crystal Dynamics,Square Enix
Twisted Metal,Eat Sleep Play,Sony Computer Entertainment
Uncharted 2: Among Thieves,Naughty Dog,Sony Computer Entertainment
Uncharted 3: Drake's Deception,Naughty Dog,Sony Computer Entertainment
Uncharted: Drake's Fortune,Naughty Dog,Sony Computer Entertainment
Uncharted: Golden Abyss,SCE Bend Studio,Sony Computer Entertainment
Warcraft III,Blizzard Entertainment,Blizzard Entertainment
World of Warcraft,Blizzard Entertainment,Blizzard Entertainment
WWE '12,Yuke's,THQ Digital Studios
